adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating_cost,sold_price,living_to_land_ratio,area_per_room
"Norra Yttervik 157, Skellefteå, Skellefteå",64.66441549618844,21.133503659964823,222.0,4410.0,0.0,1,1,6.0,1898,68254,4400000,0.050340136054421766,37.0
"Ollonborrevägen 7, Assarhusa, Lunds",55.707180903224334,13.326551841120608,165.0,667.0,0.0,0,0,6.0,1980,42600,5125000,0.24737631184407796,27.5
"Ringvägen 7, Lekeryd, Jönköpings",57.77424245402371,14.4208605996053,126.0,1536.0,0.0,0,0,5.0,1930,37615,2120000,0.08203125,25.2
"Håkansgårdsgatan 65, Kungsbacka, Kungsbacka",57.5036290935,12.0620515032,155.0,428.0,20.0,1,0,7.0,1978,31000,4600000,0.3621495327102804,22.142857142857142
"Vistinge Ysundaviken 107, Vistinge Ysundaviken, Finspångs",58.692022180462,15.9191995214249,64.0,2195.0,43.0,0,0,3.0,1958,33000,2050000,0.02915717539863326,21.333333333333332
"Lidhemsgatan 1, Väster, Växjö",56.8777771,14.7893639,258.0,1035.0,100.0,0,0,9.0,1936,37240,5300000,0.2492753623188406,28.666666666666668
"Fogdevägen 6, Njurunda, Sundsvalls",62.27555011155211,17.36131220265834,134.0,464.0,0.0,0,0,6.0,1974,63900,1760000,0.28879310344827586,22.333333333333332
"Angleterre 2, Kumla, Vallentuna",59.602562,18.3068161,322.0,1753.0,150.0,0,0,9.0,1936,33519,4400000,0.18368511123787792,35.77777777777778
"Björkgränd 1, Burseryd, Gislaveds",57.200015502901,13.2911489183104,121.0,1024.0,0.0,0,0,5.0,1972,39480,550000,0.1181640625,24.2
"Vikingavägen 7, Räng Sand, Vellinge",55.40741,13.00425,168.0,933.0,10.0,0,0,6.0,2011,54336,8100000,0.18006430868167203,28.0
"Rosendalsvägen 19B, Fullersta, Huddinge",59.2491455,17.9778442,155.0,888.0,117.0,0,0,7.0,1974,39047,8200000,0.17454954954954954,22.142857142857142
"Sandnäsvägen 9B, Sandnäset-Dvärsätt, Krokoms",63.2867865386288,14.5010909854239,120.0,474.0,11.0,0,0,5.0,2020,32948,3650000,0.25316455696202533,24.0
"Stormvägen 111, Björkskatan, Luleå",65.61901,22.1713161,115.0,165.0,0.0,0,0,5.0,1977,36750,2600000,0.696969696969697,23.0
"Kardvägen 5, Frennarp, Halmstads",56.6914090216006,12.87570049974,169.0,810.0,70.0,0,0,7.0,1979,37833,4100000,0.20864197530864198,24.142857142857142
"Östra Tvärgatan 3A, Hästveda, Hässleholms",56.2832756,13.9401159,104.0,750.0,50.0,0,0,5.0,1930,25250,640000,0.13866666666666666,20.8
"Fiddekulla 126, None, Emmaboda",56.5339622,15.6267471,114.0,1568.0,0.0,0,0,6.0,1850,38800,725000,0.07270408163265306,19.0
"Styrljusvägen 7B, Torslanda - Hjuvik, Göteborgs",57.7040825,11.7195654,170.0,1113.2,0.0,0,0,7.0,1986,47266,7500000,0.15271289974847285,24.285714285714285
"Otterdalsvägen 14, None, Laholms",56.51977,13.3133459,78.0,838.0,51.0,0,0,4.0,1930,32440,540000,0.09307875894988067,19.5
"Björkeberg Årestadlund 1, Vikingstad, Linköpings",58.4473988960254,15.3886829721918,107.0,2664.0,0.0,0,0,7.0,1909,40000,1500000,0.04016516516516516,15.285714285714286
"Vårgränd 2, Högsby, Högsby",57.16363,16.0358086,103.0,1047.0,96.0,0,0,6.0,1978,32459,1220000,0.09837631327602674,17.166666666666668
"Frössvivägen 75, Näs, Hallstahammars",59.5982857,16.2149639,125.0,939.0,41.0,0,0,4.0,1977,41676,2100000,0.13312034078807242,31.25
"Vattentornsvägen 22, Söderby, Salems",59.2009163,17.791317,140.0,364.0,0.0,0,0,5.0,2012,37012,5000000,0.38461538461538464,28.0
"Lektorpsvägen 39, Adolfsberg, Örebro",59.2397881,15.1553259,210.0,701.0,37.0,0,0,6.0,1994,52000,7150000,0.2995720399429387,35.0
"Slottsvägen 25, Laröd, Helsingborgs",56.0869942,12.6589584,185.0,512.0,21.0,0,0,5.0,1979,42820,5600000,0.361328125,37.0
"Soldalsringen 90, Repisvaara, Gällivare",67.11901,20.668396,107.0,765.0,56.0,0,0,4.0,2018,12800,3200000,0.13986928104575164,26.75
"Forellvägen 14, Njurunda - Mjösund, Sundsvalls",62.2743759,17.3979263,126.0,1080.0,40.0,0,0,5.0,1966,28578,2100000,0.11666666666666667,25.2
"Stora Vännerstorp Ekbacken 1, Söderköping, Söderköpings",58.499297138932,16.3254941015831,200.0,2291.0,38.0,0,0,7.0,1981,55992,4350000,0.08729812309035356,28.571428571428573
"Nygatan 56, Centralt, Hörby",55.8482723416,13.6586530241,83.0,720.0,19.0,0,0,3.0,1915,62178,850000,0.11527777777777778,27.666666666666668
"Krokforsvägen 3, Trångfors, Bodens",65.8210042496,21.6112191507,74.0,1012.0,74.0,1,0,4.0,1959,39906,1050000,0.07312252964426877,18.5
"Svänggatan 8, Ursviken, Skellefteå",64.711492611,21.1763909921,204.0,836.0,80.0,1,1,6.0,1972,29382,3300000,0.24401913875598086,34.0
"Klövervallsvägen 4, Hällaryd, Karlshamns",56.204322789,14.9430161094,106.0,868.0,106.0,1,0,4.0,1966,50466,730000,0.12211981566820276,26.5
"Hökvägen 7, Segeltorp, Huddinge",59.2726321528,17.9471169051,120.0,1503.0,13.0,0,0,6.0,1973,68008,6200000,0.07984031936127745,20.0
"Torpvägen 4, Berghem, Marks",57.4708762835,12.5907206055,138.0,2226.0,0.0,1,0,5.0,1928,47257,2200000,0.06199460916442048,27.6
"Åsvallsvägen 10, Möklinta, Sala",60.0899392007,16.5422947093,109.0,984.0,52.0,0,0,5.0,1970,21527,1250000,0.11077235772357724,21.8
"Anders Olsvägen 14C, Höllviken, Vellinge",55.4126434,12.9497814,113.0,1193.0,61.0,0,0,3.0,1940,42594,8400000,0.09471919530595138,37.666666666666664
"Slobyn Lövsta 1, Mangskog, Arvika",59.7768890348,12.7832792328,85.0,3815.0,85.0,0,0,4.0,1958,33623,985000,0.022280471821756225,21.25
"Sälgringen 11, Öraberget, Ludvika",60.0732590634,15.0128168405,120.0,857.0,120.0,0,0,4.0,1964,36752,717000,0.14002333722287047,30.0
"Egnahemsgatan 8, Åstorp, Åstorps",56.1290473607,12.9412492903,92.0,736.0,100.0,0,0,5.0,1942,37968,1500000,0.125,18.4
"Slättegårdsvägen 2, Töreboda - Slätte, Töreboda",58.7606730577,14.2008363244,153.0,1483.0,9.0,0,0,6.0,1939,35818,590000,0.10316925151719487,25.5
"Bergmans gata 17, Hörnebo, Tibro",58.4064756982,14.1468305303,185.0,850.0,62.0,0,0,7.0,1977,37440,2185000,0.21764705882352942,26.428571428571427
"Bågvägen 1, Hammarsjorden, Hjo",58.3121560655,14.2742388929,133.0,409.0,0.0,0,0,6.0,1976,31715,2195000,0.3251833740831296,22.166666666666668
"Posta-Johans väg 94, Kungsbacka, Kungsbacka",57.5070247515,12.1937738248,175.0,4745.0,52.0,1,1,7.0,1992,39863,5100000,0.0368809272918862,25.0
"Bomsund 429, Stugun, Ragunda",63.1519051,15.7795391,187.0,38579.0,68.0,0,0,7.0,1894,30675,2750000,0.0048471966613960965,26.714285714285715
"Monekilsvägen 4, Hamburgsund, Tanums",58.5581767784,11.2701887314,106.0,579.0,106.0,1,0,6.0,1974,40688,2750000,0.18307426597582038,17.666666666666668
"Relsbo 293A, Nödinge, Ale",57.86764409999999,12.1134899,173.0,1170.0,0.0,0,0,6.0,2017,49299,6750000,0.14786324786324787,28.833333333333332
"Björkvägen 6, Alfta, Ovanåkers",61.3443608429,16.0430124761,117.0,910.0,112.0,0,0,5.0,1974,41826,950000,0.12857142857142856,23.4
"Gäddsjövägen 24, Hällefors, Hällefors",59.7919241159,14.5240725188,122.0,4870.0,0.0,1,1,6.0,1924,56768,725000,0.02505133470225873,20.333333333333332
"Sihedsgatan 17, Prästgärdan, Älvsbyns",65.6684893759,20.9974926561,76.0,1045.0,76.0,0,0,3.0,1958,49027,850000,0.07272727272727272,25.333333333333332
"Bruksvägen 12, Åminne, Värnamo",57.1219362198,14.0064313728,100.0,1461.0,53.0,1,0,4.0,1938,47167,1095000,0.06844626967830253,25.0
"Gamla vägen 18, Långedrag - Hinsholmen, Göteborgs",57.66785738779693,11.858697405604277,155.0,1298.4,70.0,1,1,7.0,1977,56574,11528000,0.11937769562538508,22.142857142857142
"Svenstorpsgatan 13, Centrala Trelleborg, Trelleborgs",55.37581816696078,13.145651416104798,160.0,380.0,130.0,0,0,7.0,1947,91335,3700000,0.42105263157894735,22.857142857142858
"Krokavägen 8, Forsvik, Karlsborgs",58.5723077633,14.4351864482,75.0,843.0,75.0,0,0,5.0,1954,27852,1500000,0.08896797153024912,15.0
"Sundsmarken Sundsbo 1, None, Mariestads",58.78474463421852,13.875393706165758,77.0,2383.0,50.0,0,0,4.0,1951,32938,1250000,0.03231221149811162,19.25
"Hyllan 14, Kungsbacka, Kungsbacka",57.47383381855585,12.09317989869496,157.0,959.0,32.0,0,0,6.0,2001,45026,7400000,0.16371220020855057,26.166666666666668
"Vickelbyvägen 70, Skärblacka, Norrköpings",58.57221795386511,15.937254378508186,138.0,555.0,0.0,1,0,6.0,1974,50750,2550000,0.24864864864864866,23.0
"Orås 1014, None, Hörby",55.749126975866304,13.65156255182306,120.0,851.0,76.0,0,0,4.0,1909,35237,700000,0.1410105757931845,30.0
"Västra Alstads kyrkoväg 135-0, Trelleborg, Trelleborgs",55.447575948758,13.204087763471946,152.0,482.0,0.0,0,0,7.0,1909,33147,1850000,0.3153526970954357,21.714285714285715
"Skolgatan 27, Brålanda, Vänersborgs",58.55987505435967,12.357263862248526,135.0,962.0,160.0,1,1,6.0,1972,32935,1550000,0.14033264033264034,22.5
"Vittene Gård 3, Östadkulle, Vårgårda",57.99695613911273,12.66141716266318,201.0,2031.0,0.0,0,0,7.0,2017,30326,4100000,0.09896602658788774,28.714285714285715
"Enebobacken 2, Alster, Karlstads",59.3993892562398,13.62394084238761,168.0,2071.0,0.0,0,0,7.0,2022,47974,5900000,0.08112023177209078,24.0
"Ekendals väg 17, Hagälven, Hagfors",60.0145058904,13.6753996518,82.0,1422.0,18.0,0,0,3.0,1935,38730,800000,0.057665260196905765,27.333333333333332
"Höjentorpsvägen 8, Höjentorp, Uddevalla",58.3329307438,11.9207623414,178.0,903.0,50.0,0,0,10.0,1920,39800,3350000,0.19712070874861573,17.8
"Villavägen 11, Vadstena - Gamla Söder, Vadstena",58.4434982804,14.8973389721,165.0,773.0,84.0,0,0,6.0,1954,48300,2300000,0.21345407503234154,27.5
"Fingerboda 134, None, Nora",59.4911274331,15.1377699175,130.0,3375.0,23.0,0,0,6.0,1975,27143,2600000,0.03851851851851852,21.666666666666668
"Verkstadsgatan 16, Björneborg, Kristinehamns",59.2440922062,14.2570085762,161.0,993.0,7.0,1,1,6.0,1912,60754,420000,0.162134944612286,26.833333333333332
"Boråsvägen 31, Aplared, Borås",57.64791582373476,13.076482698266677,179.0,1690.0,0.0,1,0,6.0,1929,38990,3390000,0.1059171597633136,29.833333333333332
"Nygatan 16, Forsheda, Värnamo",57.16214071792319,13.820590042767714,126.0,1006.0,40.0,0,0,5.0,1970,44350,1700000,0.12524850894632206,25.2
"Viksjöforsvägen 202, Viksjöfors, Ovanåkers",61.33558335957456,15.97672500984022,70.0,1860.0,0.0,1,1,2.0,1929,33190,710000,0.03763440860215054,35.0
"Staffansvägen 10H, Centralt, Knivsta",59.7274620491,17.7919562713,118.0,1130.0,156.0,1,0,6.0,1963,47354,4700000,0.10442477876106195,19.666666666666668
"Sotenäsvägen 8, Sävedalen, Partille",57.7305756,12.0657892,158.0,757.0,118.0,0,0,5.0,1935,39785,5630000,0.20871862615587847,31.6
"Skälby gårds väg 5B, Skälby, Järfälla",59.39738,17.8463173,172.0,1180.0,127.0,0,0,9.0,1958,34050,7020000,0.14576271186440679,19.11111111111111
"Tromsövägen 11B, Vega, Haninge",59.19142570533134,18.135756884335542,178.0,956.0,56.0,1,1,6.0,2022,23100,8400000,0.18619246861924685,29.666666666666668
"Kyrkogatan 9, Centralt, Svedala",55.507412,13.2355232,110.0,400.0,22.0,0,0,7.0,1909,33650,3700000,0.275,15.714285714285714
"Övre Långvinkelsgatan 98, Slottshöjden, Helsingborgs",56.0509033,12.7010717,171.0,146.0,11.0,0,0,6.0,1978,35226,5800000,1.1712328767123288,28.5
"Ängsvägen 62, Snättringe, Huddinge",59.25751,17.97792,112.0,1186.0,111.0,0,0,5.0,1974,51500,7400000,0.09443507588532883,22.4
"Gålebergsvägen 13, Asperö, Göteborgs",57.6492653,11.794404,112.0,385.0,16.0,0,0,8.0,1909,22207,5800000,0.2909090909090909,14.0
"Skogsvägen 14, Edsviken, Sollentuna",59.42783,17.9581413,186.0,1756.0,150.0,0,0,10.0,1915,59600,13050000,0.10592255125284739,18.6
"Morkullegatan 19, Alsike, Knivsta",59.749382,17.785471,143.0,791.0,0.0,0,0,5.0,2008,56700,5800000,0.18078381795195955,28.6
"Hjortvägen 5, Berga, Kalmar",56.68758,16.347517,148.0,339.0,14.0,0,0,5.0,2016,34889,5190000,0.4365781710914454,29.6
"Bälinge-Nyby 22, Åkerlänna, Uppsala",60.0281525,17.3473873,168.0,8876.0,109.0,0,0,6.0,1974,27906,2510000,0.01892744479495268,28.0
"Tallbacksvägen 6, Bergby, Gävle",60.9303543673,17.0458787659,88.0,1040.0,73.0,1,0,4.0,1956,24163,1225000,0.08461538461538462,22.0
"Enbärsvägen 3, Hasslö, Karlskrona",56.1135020593,15.4756576833,117.0,876.0,0.0,1,0,5.0,1983,34707,2250000,0.13356164383561644,23.4
"Romelevägen 46, Djurgården, Kristinehamns",59.2952908105,14.095144881,119.0,594.0,71.0,0,0,5.0,1957,38544,1925000,0.20033670033670034,23.8
"Svanstigen 13, Sommarbyarna, Sjöbo",55.6308677094,13.6610452145,75.0,1408.0,25.0,1,0,2.0,1964,25005,2000000,0.053267045454545456,37.5
"Stora vägen 35, Kosta, Lessebo",56.840726569136926,15.398077534672732,119.0,1137.0,35.0,1,1,5.0,1921,32500,600000,0.10466138962181179,23.8
"Backgatan 5, Ljungarum, Jönköpings",57.75805830945719,14.170745606113927,130.0,961.0,52.0,0,0,7.0,1966,36339,3020000,0.13527575442247658,18.571428571428573
"Ekdalsvägen 25, Vendelsö, Haninge",59.1906205779,18.2213541307,172.0,1419.0,25.0,1,1,7.0,2016,59776,7740000,0.12121212121212122,24.571428571428573
"Dalsjövägen 1, Dalsjöfors, Borås",57.72020629999999,13.0970485,85.0,728.0,85.0,0,0,6.0,1958,46378,2300000,0.11675824175824176,14.166666666666666
"Åtvidabergsvägen 14, None, Valdemarsviks",58.3311730742,16.4411133637,111.0,975.0,53.0,1,0,4.0,1935,43529,1850000,0.11384615384615385,27.75
"Gingri 2, Gingri, Borås",57.81510973181568,13.028290671477237,190.0,4809.0,0.0,1,0,6.0,2018,32181,4200000,0.03950925348305261,31.666666666666668
"Trevlingevägen 50, Rasbo - Gåvsta, Uppsala",59.9416656,17.8808956,132.0,610.0,0.0,0,0,5.0,2009,53189,4600000,0.21639344262295082,26.4
"Krusagårdsvägen 15, Fritsla, Marks",57.5523639915324,12.7883650967033,120.0,1699.0,70.0,0,0,5.0,1936,47730,1375000,0.07062978222483814,24.0
"Vallgatan 4, Billesholm, Bjuvs",56.0518468768735,12.9749474410424,135.0,1443.0,50.0,1,0,7.0,1948,45379,2050000,0.09355509355509356,19.285714285714285
"Sundomsvägen 824, Sundom, Luleå",65.78251,22.3155766,115.0,4431.0,0.0,0,0,4.0,1975,42102,2200000,0.025953509365831642,28.75
"Censorsvägen 6, Löddesnäs, Lomma",55.7267723,13.0210323,125.0,560.0,125.0,0,0,6.0,1969,34754,4800000,0.22321428571428573,20.833333333333332
"Bergsgatan 3, Centrum, Ånge",62.5270538,15.6666441,148.0,1560.0,60.0,0,0,7.0,1935,44241,2325000,0.09487179487179487,21.142857142857142
"Hundberget 246, Torpshammar, Ånge",62.489515370038085,16.36794116008599,69.0,1495.0,64.0,1,1,3.0,1950,28000,350000,0.046153846153846156,23.0
"Konsumstigen 3, Svalöv, Svalövs",55.9162,13.1077127,116.0,502.0,0.0,0,0,5.0,1914,32429,2210000,0.23107569721115537,23.2
"Södra Sandåsgatan 59, Färjestaden, Mörbylånga",56.6372147,16.4792137,159.0,1740.0,0.0,0,0,5.0,1934,22700,3750000,0.09137931034482759,31.8
"Korpralsgränd 5, Norr, Eksjö",57.6765230069,14.9626601014,130.0,1096.0,0.0,1,0,4.0,1911,32285,2600000,0.11861313868613138,32.5
"Sjöviksvägen 28A, Rönninge, Salems",59.1974612818,17.7371475806,155.0,1394.0,7.0,0,0,5.0,1987,39200,8000000,0.11119081779053085,31.0
"Floragatan 15, Sanden, Bodens",65.8161099345,21.6976483467,95.0,914.0,45.0,0,0,5.0,1959,37730,1670000,0.10393873085339168,19.0
"Nedre skogsbacken 10, Alafors, Ale",57.9264789149,12.0915948443,112.0,1087.0,144.0,1,0,7.0,1977,41243,4200000,0.10303587856485741,16.0
"Backsippestigen 8, Östra Brudbadet, Eksjö",57.6521424792,14.9726851319,145.0,668.0,41.0,1,1,5.0,1968,31394,2800000,0.21706586826347304,29.0
"Frövägen 3, Öster, Växjö",56.8726145491,14.832926987,127.0,728.0,20.0,1,0,4.0,1968,34375,4100000,0.17445054945054944,31.75
"Kvarngatan 13, Skivsta, Forshaga",59.52614,13.4750051,83.0,1310.0,60.0,0,0,5.0,1936,53862,1545000,0.0633587786259542,16.6
"Torgelsholmen 13, Resö, Tanums",58.81731176776758,11.19371478883316,56.0,876.0,44.0,1,0,4.0,1877,21157,5550000,0.0639269406392694,14.0
"Segerstavägen 12, Centralt, Knivsta",59.7207376813,17.7961385768,161.0,497.0,0.0,0,0,7.0,1973,51365,4000000,0.323943661971831,23.0
"Klingagatan 33, Skarphagen, Norrköpings",58.57357866730784,16.15887697415891,137.0,776.0,0.0,1,1,4.0,1979,50960,4800000,0.17654639175257733,34.25
"Truedstorp norra 36, None, Bjuvs",55.9906592591577,12.998472634189456,96.0,584.0,72.0,1,0,4.0,1936,32000,1000000,0.1643835616438356,24.0
"Vikstaby 13, Viksta, Uppsala",60.07561217573086,17.635524555883887,168.0,5335.0,16.0,1,1,5.0,1909,40995,4295000,0.03149015932521087,33.6
"Tygelvägen 10, Häsängen, Karlskoga",59.32051767499591,14.486432046250028,124.0,935.0,95.0,0,0,5.0,1957,27583,1295000,0.13262032085561498,24.8
"Hertig Karls väg 4, Centralt, Trosa",58.89790072374237,17.55231350710571,109.0,774.0,100.0,0,0,7.0,1956,56158,6750000,0.14082687338501293,15.571428571428571
"Haråsvägen 13, Hindås, Härryda",57.70357847011228,12.460449669438818,98.0,1270.0,50.0,1,1,5.0,1939,32000,3100000,0.07716535433070866,19.6
"Kyrkbacken 72, Svärtinge, Norrköpings",58.6492538,16.0236454,125.0,1144.0,40.0,0,0,4.0,2006,53250,5100000,0.10926573426573427,31.25
"Sjökortsvägen 9, Torslanda - Andalen, Göteborgs",57.7050476,11.7601328,70.0,1150.0,30.0,0,0,2.0,1965,22504,3950000,0.06086956521739131,35.0
"Ängomsvägen 31, Matfors, Sundsvalls",62.3526840629875,17.044562641515,166.0,1397.0,30.0,0,0,6.0,1973,44922,2500000,0.11882605583392986,27.666666666666668
"Kråkövägen 20, None, Hudiksvalls",61.7289100570549,17.139402627822598,112.0,856.0,95.0,0,0,7.0,1971,31400,2850000,0.1308411214953271,16.0
"Rönnvägen 7, Bohus, Ale",57.8465424,12.018178,109.0,735.0,71.0,0,0,5.0,1966,28700,4895000,0.14829931972789115,21.8
"Vårbroddsvägen 1, Beddingestrand, Trelleborgs",55.3614922,13.431,176.0,811.0,40.0,0,0,5.0,1960,73745,8600000,0.21701602959309493,35.2
"Möllstorpsgatan 30, Färjestaden, Mörbylånga",56.6567345,16.48892,140.0,1190.0,0.0,0,0,7.0,1930,30605,4300000,0.11764705882352941,20.0
"Källeryd Marieberg 1, Källeryd, Herrljunga",58.1154633,13.1930885,105.0,1290.0,0.0,0,0,3.0,1925,33606,1500000,0.08139534883720931,35.0
"Hoby mosse 323, Hoby, Lunds",55.7714462,13.1473923,259.0,4856.0,0.0,0,0,8.0,2022,29300,8050000,0.05333607907742998,32.375
"Norlindsvägen 6, Bromma Kyrka, Stockholms",59.3567361413,17.91794878,154.0,637.0,16.0,0,0,6.0,1909,48135,10900000,0.24175824175824176,25.666666666666668
"Dalvägen 5, Osby, Osby",56.3832720261,14.0291837736,140.0,1258.0,0.0,1,0,5.0,1974,47430,1875000,0.11128775834658187,28.0
"Nöttövägen 74, Karlholm, Tierps",60.5258114513,17.6010682174,86.0,1310.0,113.0,0,1,5.0,1959,41288,1650000,0.06564885496183206,17.2
"Hyltaskogsvägen 10, Skurup, Skurups",55.488846,13.504452,157.0,626.0,0.0,1,0,6.0,1982,56094,2100000,0.2507987220447284,26.166666666666668
"Violvägen 4, Ren, Bollnäs",61.3637129003,16.4254136841,112.0,1125.0,0.0,1,0,4.0,1986,25008,1620000,0.09955555555555555,28.0
"Sävstaholmsvägen 20, Göingegården, Varbergs",57.129621276,12.2705223569,116.0,653.0,9.0,1,0,4.0,2012,49790,5500000,0.1776416539050536,29.0
"Norra Kverrestad 809, Kverrestad, Tomelilla",55.5329914381,14.0193543994,290.0,1226.0,105.0,1,1,8.0,1934,69609,3050000,0.2365415986949429,36.25
"Förgyllargatan 5, Lagerlunda, Norrköpings",58.60668,16.167713,88.0,615.0,88.0,0,0,4.0,1963,35968,3750000,0.14308943089430895,22.0
"Skalleråsvägen 2, Ransta, Sala",59.8114103482,16.6245958609,155.0,1245.0,0.0,0,0,6.0,1974,35918,1730000,0.12449799196787148,25.833333333333332
"Strandskogen 100, Saxnäs / Öland, Mörbylånga",56.7006690596,16.4973248269,190.0,964.0,0.0,1,1,6.0,2019,21400,5200000,0.1970954356846473,31.666666666666668
"Kornbackegatan 16, Riseberga, Malmö",55.5970505734,13.0746326223,146.0,500.0,138.0,1,0,5.0,1976,47700,4350000,0.292,29.2
"Domherrevägen 4, Lyckorna/löddeköpinge, Kävlinge",55.750514007,12.9894374397,177.0,1005.0,37.0,0,0,7.0,1990,43657,6500000,0.1761194029850746,25.285714285714285
"Bergtorpstigen 67, Älvsjö/Långsjö, Stockholms",59.270502178,17.987904543,125.0,387.0,70.0,1,0,6.0,1966,47402,7250000,0.32299741602067183,20.833333333333332
"Yggenäs Nybo , None, Hagfors",60.1564204904,13.5374192783,72.0,19884.0,0.0,0,0,3.0,1930,17760,730000,0.003621001810500905,24.0
"Hemsjövägen 80, Hemsjö, Alingsås",57.8623027289,12.4903296588,125.0,2406.0,0.0,1,0,6.0,1956,10059,3800000,0.051953449709060684,20.833333333333332
"Vallmovägen 9, Tollarp, Kristianstads",55.93746,13.9839687,139.0,908.0,17.0,0,0,6.0,1973,8800,1695000,0.15308370044052863,23.166666666666668
"Tallstigen 5, Knislinge, Östra Göinge",56.1894470099,14.0712753356,158.0,1076.0,95.0,0,0,5.0,1973,52453,1900000,0.14684014869888476,31.6
"Skånings-Åsaka Nyåker 1, Skara Nord - Landsbygd, Skara",58.436165,13.453708,186.0,2364.0,0.0,0,0,7.0,1978,36500,1200000,0.07868020304568528,26.571428571428573
"Tackjärnsgatan 44, Bäckby, Västerås",59.5947673488,16.4859119093,124.0,988.0,0.0,0,0,6.0,1971,33200,3030000,0.12550607287449392,20.666666666666668
"Arrebo Karlstorp 1, None, Boxholms",58.1275145307,15.1027724704,120.0,4594.0,0.0,0,0,3.0,1929,28350,825000,0.026121027427078797,40.0
"Åsastigen 23, Lännersta, Nacka",59.3222466,18.2624321,210.0,1004.0,0.0,0,0,6.0,2007,67410,11000000,0.20916334661354583,35.0
"Dammsjöåsvägen 11, Alingsås Lantligt, Alingsås",57.90527613529645,12.59706002836729,166.0,1859.0,0.0,1,0,5.0,1980,35743,3675000,0.08929532006455083,33.2
"Tallvägen 12, Grönalid, Vansbro",60.502958025001824,14.23513556168753,101.0,1248.0,101.0,0,0,4.0,1974,40775,850000,0.08092948717948718,25.25
"Hindriks väg 11, Danholn, Falu",60.61954726199176,15.79083366486216,97.0,980.0,52.0,1,0,4.0,1957,32610,2395000,0.09897959183673469,24.25
"Tranbärsstigen 10, Svartudden, Piteå",65.31688110021675,21.517821056315928,111.0,892.0,69.0,0,0,4.0,1980,42800,1443500,0.12443946188340807,27.75
"Strand 215, Vika Strand, Falu",60.481643535444256,15.752891169146451,112.0,2860.0,0.0,0,0,5.0,1984,34612,1800000,0.039160839160839164,22.4
"Varby Udde 1, None, Söderköpings",58.4955942117,16.2513562884,169.0,1672.0,10.0,0,0,5.0,1991,49550,4100000,0.10107655502392345,33.8
"Pryssgårdsvägen 44, None, Norrköpings",58.6039548083,16.1343297231,99.0,1148.0,58.0,0,0,5.0,1932,50730,3600000,0.08623693379790941,19.8
"Väpnarstigen 21, Brevik, Tyresö",59.21443342720438,18.36039597215574,90.0,2853.0,45.0,1,0,6.0,2009,36300,6700000,0.031545741324921134,15.0
"Stenlundavägen 15A, Örebro, Örebro",59.34479048938186,15.229241025322027,166.0,664.0,0.0,0,0,8.0,1991,38400,4600000,0.25,20.75
"Ivarsbjörke 243, Sunne, Sunne",59.94293226253079,13.205684784306367,155.0,8800.0,10.0,0,0,4.0,1824,53600,2000000,0.017613636363636363,38.75
"Kvinnebyvägen 92, Linköping, Linköpings",58.37935608816095,15.689962811753649,147.0,512.0,98.0,0,0,6.0,1973,35032,4500000,0.287109375,24.5
"Hult Ärrhult 1, Anneberg, Nässjö",57.7175068128,14.8097956181,69.0,150878.0,0.0,1,1,4.0,1909,26930,3700000,0.00045732313524834636,17.25
"Gamla vägen 5, Årjäng, Årjängs",59.39166752107359,12.138016822210556,125.0,934.0,60.0,0,0,5.0,1920,39953,1250000,0.13383297644539616,25.0
"Böle 11, Svärdsjö, Falu",60.7750183038,15.9262741558,110.0,4274.0,21.0,1,0,4.0,1909,19812,1550000,0.02573701450631727,27.5
"Klövervägen 7, Centralt Sollefteå, Sollefteå",63.163429993,17.2663959866,98.0,1036.0,98.0,0,0,5.0,1966,36599,775000,0.0945945945945946,19.6
"Höststigen 3, Södertälje, Södertälje",59.16271398135712,17.58344975868006,90.0,1704.0,0.0,1,0,3.0,1940,22606,1700000,0.0528169014084507,30.0
"Amshyttan Rågsveden 102, Dala-Husby, Hedemora",60.43525491768094,15.943915545253413,150.0,3208.0,24.0,0,0,6.0,1850,33194,1200000,0.046758104738154616,25.0
"Högboda Nedre korsmossen 1, Högboda, Kils",59.57793907612847,12.99830602729054,104.0,9138.0,0.0,0,0,5.0,1909,36425,2350000,0.011381046180783541,20.8
"Nissanvägen 14, Taberg, Jönköpings",57.68316,14.0896893,119.0,842.0,54.0,0,0,5.0,1946,44369,3820000,0.14133016627078385,23.8
"Solkurvan 15, Varamon, Motala",58.5577049,15.0094032,140.0,723.0,32.0,0,0,6.0,1991,36111,3835000,0.19363762102351315,23.333333333333332
"Vängevägen 31, Skälby, Upplands Väsby",59.5283546,17.9320145,107.0,343.0,23.0,0,0,5.0,1967,58354,3850000,0.3119533527696793,21.4
"Gaterseredsvägen 45, Billdal, Göteborgs",57.5657654,11.9686308,178.0,1748.0,0.0,0,0,6.0,1941,44490,6600000,0.10183066361556065,29.666666666666668
"Björksta by Sofielund 1, None, Gnesta",59.1006279,17.1988487,37.0,2336.0,21.0,0,0,3.0,1909,29500,1940000,0.015839041095890412,12.333333333333334
"Germunds väg 28, Sigtuna - Til, Sigtuna",59.619314479724,17.7519750053369,158.0,1085.0,5.0,0,0,5.0,1970,32063,5900000,0.1456221198156682,31.6
